country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Don’t know (DO NOT READ),Somewhat favorable,Somewhat bad,Greece,0.245402243247957,5.0,,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,2.547377205974,5.0,2.0,2.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Very unfavorable,Very bad,Greece,0.8768501091803,5.0,,4.0,4.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Greece,1.96784264216896,5.0,4.0,4.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,1.3509207750526,5.0,3.0,3.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Greece,0.510236322304678,2.0,2.0,2.0,2.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Greece,1.19519184492037,5.0,4.0,4.0,4.0
Satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Greece,2.547377205974,2.0,2.0,2.0,2.0
Dissatisfied,Very favorable,Very unfavorable,Somewhat bad,Greece,1.61440315242976,5.0,1.0,4.0,3.0
Dissatisfied,Very favorable,Somewhat unfavorable,Very bad,Greece,0.245402243247957,5.0,1.0,3.0,4.0
Dissatisfied,Very favorable,Somewhat favorable,Very bad,Greece,0.445122056445495,5.0,1.0,2.0,4.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.587250152247372,5.0,4.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.270455852289801,5.0,3.0,2.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Greece,1.34278291915526,5.0,,,4.0
Dissatisfied,Somewhat unfavorable,Don’t know (DO NOT READ),Very bad,Greece,0.621697210843779,5.0,3.0,,4.0
Satisfied,Somewhat favorable,Very favorable,Somewhat good,Greece,0.867722263369235,2.0,2.0,1.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,0.59376030880533,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,1.15933848204525,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.59376030880533,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,1.72936230685476,5.0,3.0,3.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Somewhat unfavorable,Very bad,Greece,0.922062331817617,5.0,,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,2.547377205974,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,2.10978766955413,5.0,2.0,3.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,1.77594158652816,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.05489383477706,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.534993459462699,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.01651972125824,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.520615051556139,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.467195100208221,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,1.62758873822813,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat favorable,Very favorable,Somewhat bad,Greece,2.35652202536846,5.0,2.0,1.0,3.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Greece,1.68213529976245,2.0,3.0,2.0,2.0
Satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Greece,2.22279641988081,2.0,3.0,4.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.868654554699189,5.0,3.0,3.0,3.0
