satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Not too satisfied,Very favorable,Very unfavorable,Somewhat good,Canada ,1.46177484394454,4.0,1.0,4.0,2.0
Very satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,0.449061318693193,1.0,2.0,2.0,2.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.64448957324291,3.0,4.0,3.0,3.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.447155266878926,1.0,2.0,4.0,2.0
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,1.00647000945522,4.0,2.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.574222597201231,3.0,3.0,3.0,2.0
Very satisfied,Very favorable,Very unfavorable,Very good,Canada ,1.89436798015387,1.0,1.0,4.0,1.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Canada ,0.504791502883687,3.0,2.0,2.0,3.0
Very satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Canada ,1.02048800693825,1.0,1.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,1.5531337654073,3.0,2.0,2.0,2.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat good,Canada ,0.616194317195878,3.0,4.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.757057901021495,3.0,3.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Canada ,0.893044233039802,3.0,2.0,3.0,4.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.373422394242395,3.0,3.0,4.0,2.0
Not too satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.322279304697918,4.0,2.0,3.0,3.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.931045618846193,1.0,3.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Canada ,1.0391930834993,3.0,3.0,2.0,3.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.455815427761314,3.0,3.0,4.0,3.0
Not at all satisfied,Very favorable,Somewhat unfavorable,Very bad,Canada ,1.99182866466048,6.0,1.0,3.0,4.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.224214443918588,3.0,3.0,4.0,3.0
Not too satisfied,Very unfavorable,Somewhat unfavorable,Very bad,Canada ,0.29780599753502,4.0,4.0,3.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,1.2251234842197,3.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Canada ,0.327778099427232,3.0,3.0,2.0,3.0
Very satisfied,Very favorable,Somewhat unfavorable,Very good,Canada ,0.27517458458317,1.0,1.0,3.0,1.0
Not at all satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Canada ,0.622180225497421,6.0,2.0,3.0,4.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,1.46177484394454,1.0,3.0,3.0,2.0
